448,449,ward,\N,Rodger,Ward,American
449,450,vos,\N,Ernie,de_Vos,Dutch
450,451,dochnal,\N,Frank,Dochnal,American
451,452,monarch,\N,Thomas,Monarch,American
452,842,gasly,GAS,Pierre,Gasly,French
453,453,lewis,\N,Jackie,Lewis,British
454,454,ricardo_rodriguez,\N,Ricardo,Rodríguez,Mexican
455,455,seidel,\N,Wolfgang,Seidel,German
456,456,salvadori,\N,Roy,Salvadori,British
457,457,pon,\N,Ben,Pon,Dutch
458,458,slotemaker,\N,Rob,Slotemaker,Dutch
459,459,marsh,\N,Tony,Marsh,British
460,460,ashmore,\N,Gerry,Ashmore,British
461,461,schiller,\N,Heinz,Schiller,Swiss
462,462,davis,\N,Colin,Davis,British
463,463,chamberlain,\N,Jay,Chamberlain,American
464,464,shelly,\N,Tony,Shelly,New_Zealander
465,465,greene,\N,Keith,Greene,British
466,466,walter,\N,Heini,Walter,Swiss
467,467,prinoth,\N,Ernesto,Prinoth,Italian
468,468,penske,\N,Roger,Penske,American
469,469,schroeder,\N,Rob,Schroeder,British
470,470,mayer,\N,Timmy,Mayer,American
471,471,johnstone,\N,Bruce,Johnstone,South_African
472,472,harris,\N,Mike,Harris,South_African
473,473,hocking,\N,Gary,Hocking,Rhodesian
474,474,vyver,\N,Syd,van_der_Vyver,South_African
475,475,moss,\N,Stirling,Moss,British
476,476,trips,\N,Wolfgang,von_Trips,German
477,477,allison,\N,Cliff,Allison,British
478,478,herrmann,\N,Hans,Herrmann,German
479,479,brooks,\N,Tony,Brooks,British
480,480,may,\N,Michael,May,Swiss
481,481,henry_taylor,\N,Henry,Taylor,British
482,482,gendebien,\N,Olivier,Gendebien,Belgian
483,483,scarlatti,\N,Giorgio,Scarlatti,Italian
484,484,naylor,\N,Brian,Naylor,British
485,485,bordeu,\N,Juan_Manuel,Bordeu,Argentine
486,486,fairman,\N,Jack,Fairman,British
487,487,natili,\N,Massimo,Natili,Italian
488,488,monteverdi,\N,Peter,Monteverdi,Swiss
489,489,pirocchi,\N,Renato,Pirocchi,Italian
490,490,duke,\N,Geoff,Duke,British
491,491,thiele,\N,Alfonso,Thiele,American-Italian
492,492,boffa,\N,Menato,Boffa,Italian
493,493,ryan,\N,Peter,Ryan,Canadian
494,494,ruby,\N,Lloyd,Ruby,American
495,495,ken_miles,\N,Ken,Miles,British
496,496,menditeguy,\N,Carlos,Menditeguy,Argentine
497,497,larreta,\N,Alberto_Rodriguez,Larreta,Argentine
498,498,gonzalez,\N,José_Froilán,González,Argentine
499,499,bonomi,\N,Roberto,Bonomi,Argentine
500,500,munaron,\N,Gino,Munaron,Italian
501,501,schell,\N,Harry,Schell,American
502,502,stacey,\N,Alan,Stacey,British
503,503,chimeri,\N,Ettore,Chimeri,Venezuelan
504,504,creus,\N,Antonio,Creus,Spanish
505,505,bristow,\N,Chris,Bristow,British
506,506,halford,\N,Bruce,Halford,British
507,507,daigh,\N,Chuck,Daigh,American
508,508,reventlow,\N,Lance,Reventlow,American
509,509,rathmann,\N,Jim,Rathmann,American
510,510,goldsmith,\N,Paul,Goldsmith,American
511,511,branson,\N,Don,Branson,American
