384,385,bandini,\N,Lorenzo,Bandini,Italian
385,386,ginther,\N,Richie,Ginther,American
386,387,parkes,\N,Mike,Parkes,British
387,388,irwin,\N,Chris,Irwin,British
388,389,ligier,\N,Guy,Ligier,French
389,390,rees,\N,Alan,Rees,British
390,391,hart,\N,Brian,Hart,British
391,392,fisher,\N,Mike,Fisher,American
392,393,tom_jones,\N,Tom,Jones,American
393,394,baghetti,\N,Giancarlo,Baghetti,Italian
394,395,williams,\N,Jonathan,Williams,British
395,396,bondurant,\N,Bob,Bondurant,American
396,397,arundell,\N,Peter,Arundell,British
397,398,vic_wilson,\N,Vic,Wilson,British
398,399,taylor,\N,John,Taylor,British
399,400,lawrence,\N,Chris,Lawrence,British
400,401,trevor_taylor,\N,Trevor,Taylor,British
401,402,geki,\N,Giacomo,Russo,Italian
402,403,phil_hill,\N,Phil,Hill,American
403,404,ireland,\N,Innes,Ireland,British
404,405,bucknum,\N,Ronnie,Bucknum,American
405,406,hawkins,\N,Paul,Hawkins,Australian
406,407,prophet,\N,David,Prophet,British
407,408,maggs,\N,Tony,Maggs,South_African
408,409,blokdyk,\N,Trevor,Blokdyk,South_African
409,410,lederle,\N,Neville,Lederle,South_African
410,411,serrurier,\N,Doug,Serrurier,South_African
411,412,niemann,\N,Brausch,Niemann,South_African
412,413,pieterse,\N,Ernie,Pieterse,South_African
413,414,puzey,\N,Clive,Puzey,Rhodesian
414,415,reed,\N,Ray,Reed,South_African
415,416,clapham,\N,David,Clapham,South_African
416,417,blignaut,\N,Alex,Blignaut,South_African
417,418,gregory,\N,Masten,Gregory,American
418,419,rhodes,\N,John,Rhodes,British
419,420,raby,\N,Ian,Raby,British
420,421,rollinson,\N,Alan,Rollinson,British
421,422,gubby,\N,Brian,Gubby,British
422,423,mitter,\N,Gerhard,Mitter,German
423,424,bussinello,\N,Roberto,Bussinello,Italian
424,425,vaccarella,\N,Nino,Vaccarella,Italian
425,426,bassi,\N,Giorgio,Bassi,Italian
426,427,trintignant,\N,Maurice,Trintignant,French
427,428,collomb,\N,Bernard,Collomb,French
428,429,andre_pilette,\N,André,Pilette,Belgian
429,430,beaufort,\N,Carel_Godin,de_Beaufort,Dutch
430,431,barth,\N,Edgar,Barth,German
431,432,cabral,\N,Mário_de_Araújo,Cabral,Portuguese
432,433,hansgen,\N,Walt,Hansgen,American
433,434,sharp,\N,Hap,Sharp,American
434,435,mairesse,\N,Willy,Mairesse,Belgian
435,436,campbell-jones,\N,John,Campbell-Jones,British
436,437,burgess,\N,Ian,Burgess,British
437,438,settember,\N,Tony,Settember,American
438,439,estefano,\N,Nasif,Estéfano,Argentine
439,440,hall,\N,Jim,Hall,American
440,441,parnell,\N,Tim,Parnell,British
441,442,kuhnke,\N,Kurt,Kuhnke,German
442,443,ernesto_brambilla,\N,Ernesto,Brambilla,Italian
443,444,lippi,\N,Roberto,Lippi,Italian
444,445,seiffert,\N,Günther,Seiffert,German
445,446,abate,\N,Carlo,Abate,Italian
446,447,starrabba,\N,Gaetano,Starrabba,Italian
447,448,broeker,\N,Peter,Broeker,Canadian
