0,1,hamilton,HAM,Lewis,Hamilton,British
1,2,heidfeld,HEI,Nick,Heidfeld,German
2,3,rosberg,ROS,Nico,Rosberg,German
3,4,alonso,ALO,Fernando,Alonso,Spanish
4,5,kovalainen,KOV,Heikki,Kovalainen,Finnish
5,6,nakajima,NAK,Kazuki,Nakajima,Japanese
6,7,bourdais,BOU,Sébastien,Bourdais,French
7,8,raikkonen,RAI,Kimi,Räikkönen,Finnish
8,9,kubica,KUB,Robert,Kubica,Polish
9,10,glock,GLO,Timo,Glock,German
10,11,sato,SAT,Takuma,Sato,Japanese
11,12,piquet_jr,PIQ,Nelson,Piquet_Jr.,Brazilian
12,13,massa,MAS,Felipe,Massa,Brazilian
13,14,coulthard,COU,David,Coulthard,British
14,15,trulli,TRU,Jarno,Trulli,Italian
15,16,sutil,SUT,Adrian,Sutil,German
16,17,webber,WEB,Mark,Webber,Australian
17,18,button,BUT,Jenson,Button,British
18,19,davidson,DAV,Anthony,Davidson,British
19,20,vettel,VET,Sebastian,Vettel,German
20,21,fisichella,FIS,Giancarlo,Fisichella,Italian
21,22,barrichello,BAR,Rubens,Barrichello,Brazilian
22,23,ralf_schumacher,SCH,Ralf,Schumacher,German
23,24,liuzzi,LIU,Vitantonio,Liuzzi,Italian
24,25,wurz,WUR,Alexander,Wurz,Austrian
25,26,speed,SPE,Scott,Speed,American
26,27,albers,ALB,Christijan,Albers,Dutch
27,28,markus_winkelhock,WIN,Markus,Winkelhock,German
28,29,yamamoto,YAM,Sakon,Yamamoto,Japanese
29,30,michael_schumacher,MSC,Michael,Schumacher,German
30,31,montoya,MON,Juan,Pablo_Montoya,Colombian
31,32,klien,KLI,Christian,Klien,Austrian
32,33,monteiro,TMO,Tiago,Monteiro,Portuguese
33,34,ide,IDE,Yuji,Ide,Japanese
34,35,villeneuve,VIL,Jacques,Villeneuve,Canadian
35,36,montagny,FMO,Franck,Montagny,French
36,37,rosa,DLR,Pedro,de_la_Rosa,Spanish
37,38,doornbos,DOO,Robert,Doornbos,Dutch
38,39,karthikeyan,KAR,Narain,Karthikeyan,Indian
39,40,friesacher,FRI,Patrick,Friesacher,Austrian
40,41,zonta,ZON,Ricardo,Zonta,Brazilian
41,42,pizzonia,PIZ,Antônio,Pizzonia,Brazilian
42,43,matta,\N,Cristiano,da_Matta,Brazilian
43,44,panis,\N,Olivier,Panis,French
44,45,pantano,\N,Giorgio,Pantano,Italian
45,46,bruni,\N,Gianmaria,Bruni,Italian
46,47,baumgartner,\N,Zsolt,Baumgartner,Hungarian
47,48,gene,\N,Marc,Gené,Spanish
48,49,frentzen,\N,Heinz-Harald,Frentzen,German
49,50,verstappen,\N,Jos,Verstappen,Dutch
50,51,wilson,\N,Justin,Wilson,British
51,52,firman,\N,Ralph,Firman,Irish
52,53,kiesa,\N,Nicolas,Kiesa,Danish
53,54,burti,\N,Luciano,Burti,Brazilian
54,55,alesi,\N,Jean,Alesi,French
55,56,irvine,\N,Eddie,Irvine,British
56,57,hakkinen,\N,Mika,Häkkinen,Finnish
57,58,marques,\N,Tarso,Marques,Brazilian
58,59,bernoldi,\N,Enrique,Bernoldi,Brazilian
59,60,mazzacane,\N,Gastón,Mazzacane,Argentine
60,61,enge,\N,Tomáš,Enge,Czech
61,62,yoong,\N,Alex,Yoong,Malaysian
62,63,salo,\N,Mika,Salo,Finnish
63,64,diniz,\N,Pedro,Diniz,Brazilian
