64,4,18,false
65,1,24,true
66,2,20,true
67,3,19,true
68,4,21,true
69,1,23,true
70,2,20,true
71,3,18,true
72,4,22,false
73,1,24,true
74,2,20,true
75,3,21,true
76,4,19,true
77,1,22,true
78,2,20,true
79,3,25,true
80,4,18,false
81,1,24,true
82,2,20,true
83,3,19,false
84,4,21,true
85,1,23,true
86,2,20,true
87,3,18,true
88,4,22,false
89,1,24,true
90,2,20,true
91,3,21,true
92,4,19,true
93,1,22,true
94,2,20,true
95,3,25,true
96,4,18,true
97,1,24,true
98,2,20,true
99,3,19,true
100,4,21,true
101,1,23,true
102,2,20,true
103,3,18,true
104,4,22,false
105,1,24,true
106,2,20,true
107,3,21,true
108,4,19,true
109,1,22,true
110,2,20,true
111,3,25,true
112,4,18,false
113,1,24,true
114,2,20,true
115,3,19,true
116,4,21,true
117,1,23,true
118,2,20,true
119,3,18,true
120,4,22,false
121,1,24,true
122,2,20,true
123,3,21,true
124,4,19,true
125,1,22,true
126,2,20,true
127,3,25,true
